,binary__offer_expiration,ordinal__income_range,ordinal__no_visited_cold_drinks,binary__travelled_more_than_15mins_for_offer,ordinal__restaur_spend_less_than20,nominal__marital_status,nominal__restaurant_type,ordinal__age,binary__prefer_western_over_chinese,binary__travelled_more_than_25mins_for_offer,ordinal__no_visited_bars,binary__gender,nominal__car,binary__restuarant_same_direction_house,binary__cooks_regularly,nominal__customer_type,ordinal__qualif,binary__is_foodie,ordinal__no_take_aways,nominal__job_industry,binary__restuarant_opposite_direction_house,binary__has_children,ordinal__type_of_rest_rating,interval__temperature,ordinal__restaur_spend_greater_than20,interval__travel_time,interval__season,ordinal__dest_distance,binary__prefer_home_food,target,nominal__pref_profile,nominal__biz_type,nominal__spend_id,nominal__direction,nominal__extra_travel,nominal__circumstance
30,1,8,3,0,2,0,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,67,1,18,2,2,1,1,12,5,7,0,0,0
31,1,3,2,0,2,3,4,2,1,0,0,1,0,0,1,2,5,1,2,13,1,0,0,89,1,18,3,1,1,1,15,9,7,2,0,26
32,1,4,0,0,3,0,1,1,0,0,0,0,0,1,1,0,4,0,3,7,0,0,2,89,2,7,2,0,1,1,9,3,13,1,0,1
33,0,8,3,0,2,0,1,4,1,0,1,1,0,1,1,0,5,0,2,9,0,1,3,40,1,18,2,0,0,1,3,2,7,1,0,1
34,0,1,2,1,4,1,1,1,0,1,1,0,0,0,0,0,4,0,4,5,1,0,3,89,2,7,2,0,0,1,0,2,14,2,3,12
35,0,1,4,0,4,1,1,2,1,0,1,1,0,0,0,1,4,0,4,3,1,0,1,40,1,10,2,1,1,0,10,2,9,2,0,46
36,1,7,2,1,2,3,4,0,1,0,0,0,0,0,0,2,2,1,2,3,1,0,1,89,1,22,3,1,0,1,6,9,7,2,2,31
37,1,7,0,0,4,0,0,3,0,0,0,0,0,0,1,0,5,0,3,7,1,1,1,89,3,7,2,1,1,0,9,1,19,2,0,2
38,0,5,2,0,2,1,2,0,0,0,0,0,0,1,1,0,2,1,3,3,0,0,4,89,1,7,2,0,0,1,5,4,7,1,0,1
39,0,3,4,1,4,1,4,2,1,1,4,0,0,0,1,0,1,1,4,0,1,0,0,40,4,7,1,1,0,1,7,8,24,2,3,12
40,1,3,0,1,2,1,2,5,1,0,0,0,0,0,1,1,2,0,3,2,1,0,1,40,1,14,1,1,1,0,11,5,7,2,2,20
41,1,1,2,0,1,0,4,4,0,0,0,1,0,0,1,1,2,1,2,14,1,1,4,67,1,14,2,2,0,0,5,9,6,2,0,46
42,0,7,0,1,1,1,1,1,0,0,2,0,0,1,1,0,4,1,1,11,0,0,2,67,1,7,3,1,0,0,5,2,6,1,2,7
43,1,7,3,1,3,1,4,0,0,0,0,0,0,0,0,3,2,0,3,3,1,0,1,40,1,10,2,1,1,1,8,9,8,2,2,41
44,1,8,0,0,0,1,2,1,1,0,0,1,0,1,0,2,1,0,1,0,0,0,3,67,0,22,2,2,0,1,2,5,0,1,0,25
45,0,0,2,1,3,1,3,2,1,0,3,0,0,0,0,0,4,1,4,0,1,0,2,67,2,10,2,2,0,0,6,6,13,2,2,8
46,1,2,0,1,4,3,0,4,1,1,1,0,0,0,1,2,4,0,3,13,1,0,3,67,1,7,2,0,0,0,3,1,9,2,3,32
47,1,4,1,0,4,0,0,2,1,0,1,0,0,0,1,1,5,1,1,12,1,0,2,89,1,10,2,1,1,0,15,1,9,2,0,46
48,1,2,1,1,3,1,0,5,0,0,1,1,0,0,1,3,3,0,3,2,1,1,3,89,2,10,1,1,0,0,1,1,13,2,2,41
49,0,4,0,1,3,1,4,4,1,0,0,0,0,0,1,3,2,1,1,2,1,0,4,89,1,18,2,0,0,1,7,8,8,2,2,41
50,1,8,1,0,2,1,0,1,1,0,1,1,0,0,0,3,4,1,2,1,1,0,4,89,2,10,2,1,0,1,6,1,12,2,0,36
51,1,2,2,0,3,0,4,4,1,0,0,0,0,0,1,0,5,0,3,0,0,0,3,89,1,22,2,2,0,0,3,9,8,0,0,0
52,1,5,1,1,3,0,3,2,0,0,0,1,0,0,1,3,2,1,4,0,1,1,4,67,0,22,2,2,1,0,13,7,3,2,2,41
53,1,2,4,0,1,0,0,4,1,0,0,0,0,1,0,0,2,0,3,15,0,0,2,40,1,22,2,2,0,1,2,1,6,1,0,1
54,1,2,2,0,2,1,2,1,0,0,4,0,0,0,0,3,1,1,3,0,1,1,0,89,1,18,2,1,1,0,12,5,7,2,0,36
55,0,3,2,1,4,0,2,5,0,0,3,1,0,1,1,0,4,0,2,8,0,0,4,89,0,22,2,2,0,1,1,4,4,1,2,7
56,1,0,0,0,3,0,4,4,1,0,1,1,0,0,0,1,2,0,4,5,1,0,4,89,0,22,2,0,1,0,10,9,3,2,0,46
57,1,4,1,1,1,1,2,7,1,1,2,1,0,0,1,0,2,0,1,6,1,0,2,67,0,7,2,0,0,0,3,5,1,2,3,12
58,1,1,2,0,3,1,3,0,0,0,4,1,0,0,1,0,4,0,2,0,1,1,0,89,1,10,2,0,1,0,9,7,8,2,0,2
59,0,2,0,0,1,3,2,4,0,0,1,0,0,1,0,0,3,0,2,0,1,0,3,89,0,22,1,0,0,0,0,4,1,3,0,3
60,1,3,0,1,1,3,0,2,1,0,2,1,0,0,0,3,4,0,2,12,1,0,2,40,0,22,2,1,1,1,10,1,1,2,2,41
61,1,8,3,1,3,0,2,4,1,0,0,1,0,0,1,1,5,0,2,4,1,1,3,89,2,14,2,2,1,1,11,5,13,2,2,20
62,1,3,1,1,1,0,1,3,1,0,0,0,0,0,1,0,2,0,3,5,1,1,4,40,1,18,2,2,1,1,11,3,6,2,2,8
63,0,3,2,0,3,3,1,1,0,0,0,1,0,1,1,0,1,0,2,3,0,0,3,89,0,14,2,2,1,0,9,2,3,1,0,1
64,0,5,1,1,3,1,2,2,0,0,3,0,0,0,1,2,2,1,4,16,1,0,3,89,1,22,3,1,1,1,13,4,8,2,2,31
65,1,2,0,0,1,1,4,1,1,0,2,0,0,0,1,0,4,0,1,10,1,0,1,40,1,18,1,0,1,1,11,9,6,2,0,2
66,0,8,1,0,2,1,4,6,1,1,4,0,0,0,0,2,2,0,2,7,1,0,0,67,0,14,2,1,1,1,10,8,2,2,1,29
67,1,2,1,1,1,3,1,1,1,0,0,1,0,0,1,3,2,1,1,2,1,0,0,89,0,14,2,1,0,1,7,3,1,2,2,41
68,1,8,0,0,1,0,3,4,0,0,1,0,0,0,1,2,4,0,2,0,1,0,0,67,1,7,2,1,0,1,1,7,6,2,0,26
69,1,8,0,0,4,0,4,3,1,0,1,0,0,0,0,3,4,0,3,4,1,1,3,89,1,14,1,1,0,1,2,9,9,2,0,36
70,1,7,2,1,3,1,2,1,0,0,2,0,0,0,1,3,4,1,2,5,1,0,1,89,2,14,2,1,0,1,5,5,13,2,2,41
71,0,1,2,0,4,1,4,1,1,0,1,0,0,0,1,1,4,1,4,5,1,0,4,89,2,14,2,2,1,1,15,8,14,2,0,46
72,0,0,0,1,0,1,3,7,0,0,0,1,0,0,0,3,3,1,1,17,1,1,3,89,0,14,2,1,0,0,4,6,0,2,2,41
73,0,2,0,0,0,3,4,2,0,0,2,0,0,0,1,3,4,1,3,7,1,0,4,40,2,10,2,1,0,1,5,8,10,2,0,36
74,1,2,2,1,3,1,3,3,1,0,3,1,0,0,1,1,4,1,2,2,1,0,3,67,2,18,2,1,1,1,15,7,13,2,2,20
75,0,1,2,0,3,1,2,0,0,0,4,1,0,1,1,0,4,0,1,3,0,0,4,67,4,22,2,2,0,1,1,4,23,1,0,1
76,1,1,2,1,2,3,0,4,1,0,0,1,0,0,1,1,2,0,1,5,1,1,1,67,3,22,3,0,0,0,3,1,17,2,2,20
77,1,0,3,1,3,0,0,5,0,0,0,0,0,1,1,0,4,1,3,4,1,0,2,67,3,14,3,1,0,1,5,1,18,3,2,9
78,0,4,1,0,2,0,4,2,0,0,0,0,0,0,0,3,4,1,2,13,1,0,2,40,2,22,2,1,0,1,4,8,12,2,0,36
79,0,2,2,0,2,0,0,1,1,0,2,0,0,0,1,0,4,0,3,0,0,0,0,40,3,22,2,0,0,1,3,0,17,0,0,0
80,1,4,2,1,2,0,0,1,0,1,0,1,0,0,1,0,3,1,2,0,1,1,1,67,2,18,1,2,1,0,13,1,12,2,3,12
81,1,6,3,1,1,0,2,3,1,0,2,0,0,1,0,0,4,0,4,5,1,0,4,40,1,22,2,1,1,1,10,5,6,3,2,9
82,0,5,3,1,2,0,2,3,0,1,1,1,0,0,1,0,5,0,3,5,1,1,4,89,0,7,2,1,0,0,1,4,2,2,3,12
83,1,6,1,0,2,3,4,1,0,0,2,0,0,0,1,2,4,0,3,4,1,0,3,89,2,14,2,1,1,1,9,9,12,2,0,26
84,1,5,3,1,3,0,0,7,0,1,0,1,0,0,0,0,5,0,2,17,1,1,4,89,1,7,2,0,0,1,0,1,8,2,3,12
85,0,4,0,0,2,3,0,2,0,0,0,0,0,0,1,2,2,1,2,5,1,0,2,89,1,7,2,1,0,1,5,0,7,2,0,26
86,0,8,2,0,3,0,2,7,0,0,2,0,0,0,1,3,5,1,3,2,1,1,2,89,1,22,1,0,1,1,13,4,8,2,0,36
87,0,1,3,1,1,2,3,4,1,0,1,1,0,0,0,3,3,1,2,5,1,0,4,67,1,22,3,1,1,0,14,6,6,2,2,41
88,0,4,0,1,3,0,1,4,0,0,2,0,0,0,1,3,4,1,2,5,1,1,4,89,0,22,1,1,1,1,13,2,3,2,2,41
89,1,7,2,0,3,0,1,1,0,0,1,1,0,1,0,0,2,1,2,0,0,1,3,89,3,22,2,2,0,1,4,3,18,1,0,1
90,1,3,1,0,3,1,2,3,1,0,1,1,0,0,1,2,2,0,2,5,1,0,4,89,1,10,2,1,0,1,3,5,8,2,0,26
91,1,7,1,0,1,0,0,3,0,0,1,0,0,0,0,0,4,1,3,18,1,1,3,89,1,18,2,2,1,1,12,1,6,2,0,2
92,1,3,3,0,2,1,2,7,1,0,1,0,0,0,1,0,4,0,2,6,1,1,2,89,2,7,2,1,0,0,3,5,12,2,0,2
93,0,1,1,1,3,4,2,7,1,0,0,1,0,0,1,0,1,0,2,17,1,1,4,67,1,7,3,0,1,0,11,4,8,2,2,8
94,1,2,2,1,3,0,0,7,1,1,2,1,0,0,0,0,2,1,3,8,1,0,2,67,2,7,2,1,0,1,6,1,13,2,3,12
95,1,3,1,0,4,1,2,7,0,0,0,1,0,0,1,3,4,0,4,0,1,0,0,67,4,18,2,0,1,0,9,5,24,2,0,36
96,0,5,3,0,2,0,1,3,1,0,1,1,0,1,0,0,5,0,3,5,0,1,3,89,0,22,3,2,0,1,2,2,2,1,0,1
97,0,8,2,1,3,2,1,0,1,1,1,0,0,0,1,0,3,1,1,3,1,1,0,40,1,14,3,1,0,1,7,2,8,2,3,12
98,1,0,0,0,1,0,3,4,1,0,0,1,0,1,0,0,2,1,3,0,0,1,0,89,1,18,2,0,0,0,6,7,6,1,0,1
99,1,6,0,1,3,1,1,2,1,0,0,0,0,1,1,1,4,0,3,2,0,0,2,67,1,7,1,0,0,0,3,3,8,1,2,19
100,1,3,1,0,4,0,3,5,1,0,1,0,0,1,0,0,5,0,4,5,0,0,0,89,3,7,2,0,0,1,2,7,19,1,0,1
101,1,3,1,1,3,0,0,1,0,1,2,0,0,0,1,0,2,0,2,3,1,0,0,89,1,22,1,0,1,0,9,1,8,2,3,12
102,1,3,0,0,3,1,2,7,0,0,0,1,0,1,1,0,4,1,1,17,0,0,3,89,1,10,2,0,0,0,5,5,8,1,0,1
103,1,2,3,0,1,3,4,4,0,0,0,0,0,0,1,3,2,1,3,14,1,0,1,40,1,14,2,1,1,1,13,9,6,2,0,36
104,0,4,0,1,3,0,4,1,0,0,0,0,0,0,0,3,4,0,3,7,1,0,3,40,2,18,2,1,0,1,0,8,13,2,2,41
105,1,2,3,1,2,1,1,1,1,0,2,1,0,0,1,0,4,1,3,3,1,0,2,67,1,18,3,1,1,1,15,3,7,2,2,8
106,0,2,0,1,2,1,2,3,1,0,2,0,0,0,0,3,1,1,3,19,1,0,4,89,1,10,3,1,0,0,6,4,7,2,2,41
107,1,2,2,1,3,0,0,3,1,0,0,0,0,0,0,1,5,0,3,13,1,1,3,67,1,10,1,1,1,0,10,1,8,2,2,20
108,1,3,2,0,3,2,3,3,0,0,1,1,0,0,0,1,4,0,1,0,1,0,2,89,1,18,1,2,0,0,0,7,8,2,0,46
109,1,3,3,1,4,2,4,7,0,0,2,0,0,0,0,0,2,0,3,19,1,1,0,67,3,7,2,0,1,1,8,9,19,2,2,8
110,1,8,1,1,4,1,4,0,1,0,0,1,0,1,1,1,1,1,1,3,0,0,0,89,0,7,2,0,1,1,15,9,4,1,2,19
111,0,0,0,1,3,1,4,1,0,0,2,0,0,0,0,0,2,1,3,5,1,0,2,67,0,7,3,2,1,0,12,8,3,2,2,8
112,0,7,4,0,3,3,1,1,0,0,2,1,0,1,1,2,2,1,3,0,0,0,2,89,1,18,3,2,1,1,13,2,8,1,0,25
113,0,6,1,1,2,1,3,5,0,0,1,1,0,1,1,2,4,0,2,8,0,1,0,89,1,10,2,2,1,0,9,6,7,1,2,30
114,1,3,2,1,2,0,3,7,0,0,1,0,0,1,1,0,2,1,3,0,1,1,0,40,2,22,2,2,0,1,5,7,12,3,2,9
115,1,3,1,0,2,1,1,0,1,0,0,1,0,1,0,1,2,1,2,4,0,1,2,67,1,7,3,2,1,1,14,3,7,1,0,15
116,0,5,4,1,3,1,1,1,1,0,4,0,0,0,0,3,4,0,3,1,1,0,0,67,1,14,3,1,1,1,10,2,8,2,2,41
117,1,4,1,1,2,1,2,7,1,0,1,0,0,0,0,0,1,1,3,14,1,1,2,89,1,7,2,1,0,0,6,5,7,2,2,8
118,1,3,1,0,1,1,2,1,1,0,0,1,2,1,0,0,3,0,2,5,0,0,2,67,1,14,3,0,0,1,2,5,6,1,0,1
119,1,2,1,1,1,4,3,1,1,0,0,1,0,0,1,0,4,1,3,3,1,0,2,89,1,7,2,2,0,0,7,7,6,2,2,8
120,1,8,1,1,2,0,0,4,1,0,0,0,0,0,0,3,3,0,3,5,1,1,3,40,1,22,2,1,0,1,2,1,7,2,2,41
121,0,8,3,1,3,0,1,4,0,0,0,1,0,0,1,3,5,0,2,4,1,1,3,89,2,10,2,2,1,1,9,2,13,2,2,41
122,0,7,3,1,3,0,0,7,0,1,0,1,0,0,1,3,4,0,2,0,1,1,4,67,2,18,3,0,0,0,1,0,13,2,3,44
123,0,3,0,1,3,0,1,3,0,0,0,0,0,0,1,3,2,1,3,14,1,1,3,89,2,10,1,1,1,1,13,2,13,2,2,41
124,1,1,2,0,3,1,0,1,1,0,3,0,0,0,1,3,4,0,3,18,1,0,0,89,0,10,2,2,1,1,11,1,3,2,0,36
125,1,3,1,0,2,0,4,3,0,0,1,0,0,1,0,0,2,1,1,20,0,1,3,89,1,18,2,2,0,1,4,9,7,1,0,1
126,1,1,1,1,2,4,0,7,0,0,1,1,0,0,1,0,3,0,3,8,1,1,4,67,1,10,3,0,1,0,9,1,7,2,2,8
127,0,2,2,0,2,1,4,5,1,0,1,0,0,0,1,3,2,0,2,6,1,1,0,89,0,10,2,1,0,1,3,8,2,2,0,36
128,0,0,2,1,3,3,1,5,1,0,0,1,0,1,0,0,2,1,2,0,0,1,1,40,1,18,3,2,0,1,6,2,8,1,2,7
129,1,5,0,0,2,2,4,5,1,0,0,0,0,1,1,0,4,1,3,2,0,1,3,89,0,22,3,2,0,1,7,9,2,1,0,1
130,0,4,2,0,3,1,2,1,0,0,4,0,0,0,0,3,4,0,4,1,1,0,4,40,1,10,2,1,1,1,8,4,8,2,0,36
131,1,7,2,0,3,1,0,1,1,0,2,1,0,1,0,3,4,1,2,5,0,0,2,67,2,18,2,2,1,1,14,1,13,1,0,35
132,1,8,4,0,4,0,2,5,0,0,0,1,0,1,1,0,2,0,4,13,0,1,2,40,3,7,3,1,0,0,1,5,19,1,0,1
133,1,0,0,1,3,0,4,1,1,0,0,1,0,0,0,3,2,0,3,2,1,0,1,89,1,18,1,1,1,1,10,9,8,2,2,41
134,0,2,0,0,2,1,2,6,0,0,0,1,0,0,0,3,2,1,2,2,1,1,2,67,0,18,2,0,1,0,12,4,2,2,0,36
135,1,6,0,1,3,1,1,7,1,0,2,0,0,0,0,0,5,1,2,13,0,0,4,89,1,18,2,2,0,1,6,3,8,0,2,6
136,1,8,0,0,2,0,2,3,0,0,2,0,0,0,0,3,2,0,3,14,1,0,2,89,2,10,2,1,0,0,0,5,12,2,0,36
137,1,8,1,0,2,0,4,5,0,0,2,1,0,0,1,0,4,1,1,4,1,1,0,67,2,22,2,1,1,1,13,9,12,2,0,2
138,0,8,2,0,3,0,3,1,0,0,2,1,0,0,1,1,0,1,2,5,1,0,1,89,2,7,2,1,1,1,13,6,13,2,0,46
139,1,7,0,0,2,1,0,2,0,0,0,0,0,1,0,3,4,1,1,2,0,0,4,89,2,18,1,2,1,0,12,1,12,1,0,35
140,1,2,1,1,2,3,4,3,0,0,2,0,0,1,1,2,2,0,2,3,1,0,3,89,1,18,1,1,0,1,1,9,7,3,2,50
141,0,5,2,1,3,3,2,3,1,0,4,0,0,0,0,2,2,1,2,2,1,0,2,89,1,14,1,1,0,1,6,4,8,2,2,31
142,1,1,1,0,3,0,0,2,0,0,0,1,0,1,1,0,3,0,4,7,0,0,1,67,0,18,2,2,0,0,1,1,3,1,0,1
143,0,2,0,1,1,3,4,1,0,0,3,1,0,0,1,3,4,1,3,0,1,1,3,67,2,22,2,1,0,0,5,8,11,2,2,41
144,1,6,2,1,3,3,0,3,0,0,1,1,0,0,1,0,2,1,4,6,1,0,2,67,2,18,2,2,0,0,5,1,13,2,2,8
145,0,8,1,0,2,0,4,3,0,0,2,0,0,0,1,0,2,1,3,21,1,1,2,40,3,10,2,1,1,0,13,8,17,2,0,2
146,1,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,2,1,2,0,1,1,3,40,0,22,1,1,0,0,5,1,1,2,0,2
147,1,7,0,1,2,0,2,4,1,0,0,0,0,0,1,0,2,1,1,18,1,0,4,89,2,10,1,1,1,1,15,5,12,2,2,8
148,0,5,3,1,2,0,3,3,1,0,1,1,0,0,1,0,4,0,2,5,1,1,1,67,1,18,2,2,0,0,3,6,7,2,2,8
149,0,3,1,1,3,1,2,4,0,0,0,0,0,0,0,0,5,0,3,15,1,0,2,40,1,7,2,2,1,1,8,4,8,2,2,8
150,1,3,2,1,2,1,3,1,0,1,1,0,0,0,0,0,4,0,3,3,1,0,4,40,1,7,1,0,1,1,8,7,7,2,3,12
151,1,6,2,0,3,0,3,3,0,0,2,0,0,0,0,2,4,1,3,2,1,0,0,40,3,10,1,2,0,1,4,7,18,2,0,26
152,0,1,4,1,2,3,0,1,1,0,2,1,0,0,1,3,4,0,4,7,1,0,2,89,1,18,2,1,1,0,11,0,7,2,2,41
153,1,3,0,1,1,1,3,0,0,0,0,0,0,0,1,0,2,0,0,3,1,0,2,89,1,22,2,2,1,1,9,7,6,2,2,8
154,0,3,1,0,2,0,1,1,1,0,0,1,0,0,0,3,4,1,2,0,1,1,0,40,1,10,1,1,0,1,6,2,7,2,0,36
155,1,8,1,1,3,0,0,3,0,0,1,1,0,0,1,2,2,0,4,5,1,0,3,89,1,18,2,1,0,1,1,1,8,2,2,31
156,0,1,1,0,3,3,4,1,1,0,0,1,0,1,1,0,2,0,4,3,0,0,3,40,2,22,2,2,0,1,3,8,13,1,0,1
157,1,2,0,1,2,0,1,5,0,0,0,1,0,0,0,3,2,0,3,0,1,1,0,89,1,10,2,1,1,1,8,3,7,2,2,41
158,1,4,0,0,1,0,4,7,0,0,1,1,0,0,0,1,4,1,3,9,1,1,1,89,1,14,2,1,1,1,12,9,6,2,0,46
159,1,2,2,1,3,0,1,5,1,0,0,1,0,0,1,3,2,0,4,1,1,1,2,67,1,7,1,2,0,1,3,3,8,2,2,41
160,1,8,1,0,3,0,2,3,0,0,1,1,0,1,0,0,2,1,4,5,0,0,4,67,1,7,1,0,0,1,4,5,8,1,0,1
161,0,3,1,0,2,0,4,6,0,0,0,1,0,0,1,0,2,1,1,22,1,1,4,89,1,14,3,1,0,0,5,8,7,2,0,2
162,1,0,0,0,1,1,2,2,0,0,1,0,0,1,0,0,3,0,2,0,0,0,4,89,1,18,2,2,0,0,0,5,6,1,0,1
163,0,4,0,0,2,1,4,2,0,0,2,1,0,1,1,0,4,0,3,13,0,0,4,89,1,7,1,1,0,0,1,8,7,1,0,1
164,0,1,2,0,2,1,2,1,1,0,1,0,0,1,1,0,4,1,3,3,1,1,1,89,1,10,2,2,0,1,7,4,7,3,0,3
165,0,3,0,1,1,1,3,0,0,1,0,0,0,0,1,0,2,0,0,3,1,0,1,40,1,22,1,1,1,1,9,6,6,2,3,12
166,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,2,1,1,3,1,0,4,89,1,18,2,2,0,1,4,7,6,2,2,8
167,1,4,2,1,2,0,4,4,0,0,1,0,0,0,1,3,2,0,3,7,1,1,2,89,2,22,2,0,0,0,1,9,12,2,2,41
168,1,4,0,0,3,1,4,1,1,0,2,0,0,0,1,0,4,0,1,18,1,0,4,67,0,7,1,0,1,1,11,9,3,2,0,2
169,0,4,2,1,2,0,1,1,0,0,0,1,0,1,1,0,3,1,2,0,0,1,4,40,2,10,2,2,0,1,5,2,12,1,2,7
170,0,1,1,1,2,3,0,7,1,0,3,0,0,0,1,3,2,0,2,10,1,1,1,89,1,14,2,1,0,0,3,0,7,2,2,41
171,1,2,0,1,2,3,0,2,1,0,1,0,0,1,1,1,3,1,2,16,1,1,4,40,0,18,2,1,1,1,15,1,2,3,2,21
172,0,8,2,1,3,0,0,7,0,0,2,1,0,0,0,3,5,1,4,15,1,1,3,67,1,18,3,1,0,0,4,0,8,2,2,41
173,0,6,2,1,3,0,4,5,1,1,1,1,0,0,0,0,5,1,4,4,1,1,2,40,1,18,1,0,0,1,6,8,8,2,3,12
174,1,8,1,0,3,0,0,3,1,0,1,1,0,0,1,0,2,1,4,5,1,0,2,89,1,14,2,1,0,1,7,1,8,2,0,2
175,1,2,1,0,2,0,4,4,1,0,1,0,0,0,1,3,2,0,3,3,1,1,2,40,0,7,1,1,1,1,11,9,2,2,0,36
176,1,8,1,0,2,0,4,4,0,0,2,0,0,0,0,0,2,0,2,13,0,0,2,89,1,14,2,2,0,1,0,9,7,0,0,0
177,1,8,3,0,2,1,2,7,1,0,2,0,0,1,0,2,4,0,3,7,0,0,3,40,1,7,1,0,0,1,2,5,7,1,0,25
